object_id,folder_id,area,path,titulo,tipo,status,tamanho_bytes,ultima_modificacao,commit
MVP-SCN-001,FS-MVP-002,SaaS MVP,500-saas-mvp/01-product/SCANNER_README.md,Scanner · QR · Atalhos,markdown,ativo,19556,2026-08-27,a4a07b6
MVP-CJ-001,FS-MVP-003,SaaS MVP,500-saas-mvp/02-experience/CUSTOMER_JOURNEY.md,Customer Journey,markdown,ativo,111,2026-08-26,0f93261
MVP-ONBO-001,FS-MVP-003,SaaS MVP,500-saas-mvp/02-experience/ONBOARDING.md,Onboarding,markdown,ativo,85,2026-08-26,0f93261
MVP-ROUT-001,FS-MVP-003,SaaS MVP,500-saas-mvp/02-experience/ROUTES.md,Routes,markdown,ativo,78,2026-08-26,0f93261
MVP-SF-001,FS-MVP-003,SaaS MVP,500-saas-mvp/02-experience/SCREEN_FLOW.md,Screen Flow,markdown,ativo,75,2026-08-26,0f93261
MVP-AC-001,FS-MVP-004,SaaS MVP,500-saas-mvp/03-engineering/ACCEPTANCE_CRITERIA.md,Acceptance Criteria,markdown,ativo,82,2026-08-26,0f93261
MVP-ARCH-001,FS-MVP-004,SaaS MVP,500-saas-mvp/03-engineering/ARCHITECTURE.md,Architecture,markdown,ativo,85,2026-08-26,0f93261
MVP-FS-001,FS-MVP-004,SaaS MVP,500-saas-mvp/03-engineering/FUNCTIONAL_SPECS.md,Functional Specs,markdown,ativo,90,2026-08-26,0f93261
MVP-IH-001,FS-MVP-004,SaaS MVP,500-saas-mvp/03-engineering/IMPLEMENTATION_HANDOFF.md,Implementation Handoff,markdown,ativo,112,2026-08-26,0f93261
MVP-READ-001,FS-MVP-004,SaaS MVP,500-saas-mvp/03-engineering/code/README.md,Code Reference Registry,markdown,ativo,196,2026-08-26,0f93261
MVP-DECI-001,FS-MVP-005,SaaS MVP,500-saas-mvp/04-reference/DECISIONS.md,Decisions,markdown,ativo,74,2026-08-26,0f93261
MVP-DS-001,FS-MVP-005,SaaS MVP,500-saas-mvp/04-reference/DESIGN_SOT.md,Design SOT,markdown,ativo,125,2026-08-26,0f93261
MVP-METH-001,FS-MVP-005,SaaS MVP,500-saas-mvp/04-reference/METHODOLOGIES.md,Methodologies,markdown,ativo,66,2026-08-26,0f93261
MVP-SOUR-001,FS-MVP-005,SaaS MVP,500-saas-mvp/04-reference/SOURCES.md,Sources,markdown,ativo,97,2026-08-26,0f93261
MVP-MOC-001,FS-MVP-001,SaaS MVP,500-saas-mvp/500-saas-mvp.md,500 · SaaS MVP,markdown,ativo,487,2026-08-26,aff5a9f
TEC-READ-001,FS-TEC-022,Tecnologia Plataformas,80-tecnologia-plataformas/05-gpt/02-agents/README.md,Agents,markdown,ativo,56,2026-08-26,469bd29
AGT-MAESTRO-001,FS-TEC-029,Tecnologia Plataformas,80-tecnologia-plataformas/05-gpt/02-agents/maestro/AGENT_MAESTRO.md,Maestro · Cross-Functional Knowledge Orchestrator,markdown,ativo,2428,2026-08-26,aff5a9f
TEC-PORT-001,FS-TEC-029,Tecnologia Plataformas,80-tecnologia-plataformas/05-gpt/02-agents/maestro/PORTABILITY.md,Portability,markdown,ativo,197,2026-08-26,469bd29
TEC-OUTP-001,FS-TEC-030,Tecnologia Plataformas,80-tecnologia-plataformas/05-gpt/02-agents/maestro/config/OUTPUT.md,Output Contract,markdown,ativo,142,2026-08-26,469bd29
TEC-POLI-001,FS-TEC-030,Tecnologia Plataformas,80-tecnologia-plataformas/05-gpt/02-agents/maestro/config/POLICY.yaml,POLICY.yaml,yaml,ativo,406,2026-08-26,469bd29
TEC-PROV-001,FS-TEC-030,Tecnologia Plataformas,80-tecnologia-plataformas/05-gpt/02-agents/maestro/config/PROVENANCE.md,Provenance,markdown,ativo,225,2026-08-26,469bd29
TEC-ROUT-001,FS-TEC-030,Tecnologia Plataformas,80-tecnologia-plataformas/05-gpt/02-agents/maestro/config/ROUTING.md,Routing Protocol,markdown,ativo,487,2026-08-26,469bd29
TEC-INIT-001,FS-TEC-031,Tecnologia Plataformas,80-tecnologia-plataformas/05-gpt/02-agents/maestro/orchestrator/__init__.py,__init__.py,script-python,ativo,0,2026-08-26,469bd29
TEC-MAES-001,FS-TEC-031,Tecnologia Plataformas,80-tecnologia-plataformas/05-gpt/02-agents/maestro/orchestrator/maestro.py,maestro.py,script-python,ativo,550,2026-08-26,469bd29
TEC-REGI-001,FS-TEC-031,Tecnologia Plataformas,80-tecnologia-plataformas/05-gpt/02-agents/maestro/orchestrator/registry.py,registry.py,script-python,ativo,523,2026-08-30,1268c06
TEC-ROUT-002,FS-TEC-031,Tecnologia Plataformas,80-tecnologia-plataformas/05-gpt/02-agents/maestro/orchestrator/router.py,router.py,script-python,ativo,680,2026-08-26,469bd29
TEC-MAES-002,FS-TEC-032,Tecnologia Plataformas,80-tecnologia-plataformas/05-gpt/02-agents/maestro/proto/maestro.proto,maestro.proto,protobuf,ativo,863,2026-08-26,469bd29
TEC-BOOT-001,FS-TEC-034,Tecnologia Plataformas,80-tecnologia-plataformas/05-gpt/02-agents/maestro/scripts/bootstrap.sh,bootstrap.sh,script-shell,ativo,231,2026-08-26,469bd29
TEC-GRA-001,FS-TEC-034,Tecnologia Plataformas,80-tecnologia-plataformas/05-gpt/02-agents/maestro/scripts/gen_registros_auxiliares.py,gen_registros_auxiliares.py,script-python,ativo,6590,2026-08-31,8b008e6
TEC-IS-001,FS-TEC-034,Tecnologia Plataformas,80-tecnologia-plataformas/05-gpt/02-agents/maestro/scripts/index_skills.py,index_skills.py,script-python,ativo,742,2026-08-30,1268c06
TEC-SCHE-001,FS-TEC-033,Tecnologia Plataformas,80-tecnologia-plataformas/05-gpt/02-agents/maestro/sql/schema.sql,schema.sql,schema-sql,ativo,938,2026-08-26,469bd29
TEC-READ-002,FS-TEC-023,Tecnologia Plataformas,80-tecnologia-plataformas/05-gpt/03-skills/README.md,Skills,markdown,ativo,55,2026-08-26,469bd29
TEC-READ-003,FS-TEC-006,Tecnologia Plataformas,80-tecnologia-plataformas/05-gpt/README.md,05 · GPT / AI,markdown,ativo,152,2026-08-26,469bd29
TECH-MOC-001,FS-TEC-001,Tecnologia Plataformas,80-tecnologia-plataformas/80-tecnologia-plataformas.md,80 · Tecnologia Plataformas,markdown,ativo,281,2026-08-26,aff5a9f
