lacuna_id,origem,unidade,alvo,descricao,pesquisa_necessaria,prioridade
GA-914204c25f,formulario,ECO-01,2.2 Contexto do PRD,"Falta o PRD propriamente dito. Os documentos citam PRD-006 e um FRD do Scanner que não estão entre os 214 arquivos — provavelmente vivem no repositório Sas-Executar/Sas-Executar ou no Drive, não no conjunto entregue.","Localizar PRD-006 e o FRD do Scanner no repositório/Drive e incorporá-los ao registro documental, ou declará-los inexistentes e escrever o PRD a partir de DATA-ADHD-PM-001.",
GA-0faf54c756,formulario,ECO-01 (com persona própria em ECO-07),2.7 Persona principal,"Falta a persona formalizada, e falta resolver o conflito de ICP (faixa etária 25–35 × 25–44, gênero, papel do diagnóstico). O artefato estaria num documento de pesquisa de usuário/persona — inexistente; e a própria decisão ICP-01 tem status DECIDED_FOR_TEST, isto é, hipótese a validar em recrutamento.","Resolver o conflito de ICP e escrever uma persona única derivada da versão vencedora; ICP-01 já prevê “recrutar ICP comportamental e medir ativação, recorrência, pagamento e retenção”.",
GA-c020bad937,formulario,ECO-02 e ECO-07 documentadas; ECO-01 sem jornada de descoberta própria,2.8 Jornada — Descoberta,"Falta a jornada de descoberta específica do app: como um usuário chega ao EXECUTAR (loja de apps, landing, indicação) não está documentado. Os eventos acquisition_source e campaign_id existem como especificação de telemetria, sem mapa de jornada correspondente.",Desenhar a jornada de descoberta do ECO-01 ligando os CTAs CH-001/CH-002 aos eventos acquisition_source e install_or_signup.,
GA-5a7dbdfa59,formulario,ECO-01 (com recorrência contratual própria em ECO-07),2.10 Jornada — Uso recorrente,"Falta qualquer dado de retenção observada: nenhuma coorte medida, nenhuma frequência real de uso, e o próprio churn de 10/15/20% é premissa. O dado nasceria das coortes W1/W2/W4/W8 do warehouse, ainda não populadas.","Medir a frequência real de uso no piloto para confirmar ou falsear a hipótese de 1–2 vezes por semana, que hoje sustenta a promessa central do produto.",
GA-6e6020606d,formulario,ECO-01,2.11 Momento 'aha',"Falta nomear e medir o momento aha: não há definição de qual etapa exata do VALUE_EVENT-01 produz o reconhecimento de valor, nem tempo-alvo para alcançá-lo — o endpoint time_to_next_action existe, mas sem meta.",Adotar “primeira próxima ação válida executada em menos de X minutos” como definição operacional do momento aha e fixar X após observar time_to_next_action no piloto.,
GA-f487eb5226,formulario,ECO-01,2.12 User story de referência,Falta a user story formal com critérios de aceite acoplados. O artefato estaria num backlog ou PRD — inexistentes no corpus.,"Converter a perspectiva dos “primeiros 30 minutos” em user story formal, com critérios de aceite ligados a retomada de contexto, próxima ação e DoD verificável.",
GA-7759f94c14,formulario,,8.1 Problema/oportunidade que justifica o projeto,O próprio §03-T1 registra que a justificativa ainda precisa ser consolidada formalmente como problema central + oportunidade de mercado em documento único.,Consolidar 8.1 em declaração formal de problema/oportunidade no Project Charter (PC-01).,
GA-00dc1c832c,formulario,,8.3 Critério de sucesso principal,"Falta meta numérica e prazo: quantos clientes, qual receita, até quando. O campo exige indicador objetivo com meta e prazo.","Definir meta quantitativa de clientes/receita de consultoria e a data-alvo, ancorada no roadmap set/2026–jan/2027.",
GA-163c820d95,formulario,,8.4 Decisão Go/No-Go,"Não existem critérios objetivos definidos para continuar, corrigir, suspender ou despriorizar cada linha do ecossistema.","Definir critérios Go/No-Go por linha (app, blog, infoprodutos, físicos, consultoria, livro), ancorados no Gate de Revisão de 24/10/2026.",
GA-cc6f2aa507,formulario,,8.5 Abordagem do projeto,"Abordagem preditiva, ágil ou híbrida ainda não escolhida nem documentada.","Selecionar e documentar a abordagem (o PMBOK 8 contempla preditiva, adaptativa e híbrida — PDF Fundamentos §3.6), coerente com operação solo e baixo overhead administrativo.",
GA-6dc50a2fd3,formulario,,8.6 Relato de status,"Não há padrão Verde/Amarelo/Vermelho com critérios objetivos de prazo, risco, bloqueio e resultado.",Formalizar regras do semáforo de status e a cadência de emissão do relato.,
GA-2b64062156,formulario,,9.4 Dependência entre horizontes,"CONFLITO REGISTRADO: a linha 9.4 do §03-T1 marca ""TBD — deve ser formalizada a cadeia de dependências"", mas o mesmo bloco §05 já enumera cinco dependências materiais. Falta a formalização com predecessores, sucessores, bloqueios e gates explícitos.",Formalizar o grafo de dependências entre horizontes com gates verificáveis (resolve também MASTER-04).,
GA-5ad3a57385,formulario,,10.1 Marco de médio prazo #1,"CONFLITO REGISTRADO: 10.1 está marcado TBD, mas o §05-Cronograma traz marcos datados (blog 07/09/2026; app beta 14/09/2026; serviços 21/09/2026; infoprodutos e físicos 28/09/2026; curso 19/10/2026; Gate de Revisão 24/10/2026; manuscrito 12/12/2026; livro 10/01/2027). Falta eleger qual deles é o marco de médio prazo #1 verificável.","Eleger o marco de médio prazo #1 — candidato mais forte: Gate de Revisão de 24/10/2026, único ponto do roadmap que já é definido como decisão baseada em dados acumulados.",
GA-4f36b20a12,formulario,,10.3 Item de backlog crítico,Não foi identificado o único item cuja não execução bloqueia o próximo marco. Candidato derivável de 9.3: o lançamento do blog em 07/09/2026 (predecessor declarado do app beta).,Confirmar com o owner o item de backlog crítico único e amarrá-lo ao marco de 10.1.,
GA-80b8062fef,formulario,,10.5 Planejamento de sprint,"Não existe mecanismo para selecionar trabalho por prioridade, dependência e capacidade real. Restrição conhecida (9.5): operação solo exige regra simples e limite de WIP.",Criar regra mínima de planejamento que limite compromissos do ciclo à capacidade real disponível.,
