evidencia_id,origem,rodada,claim_ou_campo,framework,dimensao,unidade,documento_id,evidencia,forca,confianca,status
EV-421441a4cc,strategic_analysis,r1,"Evidencia brasileira populacional associa rastreio positivo de TDAH a maior desemprego, com n=2.297 e 4,59% de rastreio positivo.",SA-01,social,ECO-02,DOC-C02-032,"RC-SRC-004 (Mattos et al., 2024, J Atten Disord): 'n=2.297; 4,59% de TDAH sintomatico (IC95% 3,56-5,44)'; limitacao registrada: 'ASRS-6 e screener; nao apresentar 4,59% como prevalencia diagnostica nacional'.",strong,0.9,fact
EV-c571b97b66,strategic_analysis,r1,"Evidencia brasileira populacional associa rastreio positivo de TDAH a maior desemprego, com n=2.297 e 4,59% de rastreio positivo.",SA-01,social,ECO-02,DOC-C02-021,"RC-SRC-004 (Mattos et al., 2024, J Atten Disord): 'n=2.297; 4,59% de TDAH sintomatico (IC95% 3,56-5,44)'; limitacao registrada: 'ASRS-6 e screener; nao apresentar 4,59% como prevalencia diagnostica nacional'.",strong,0.9,fact
EV-8a3c42b08b,strategic_analysis,r1,"Amostra brasileira de empreendedores mostrou 27,4% com rastreio positivo, sem associacao significativa com lucro.",SA-01,social,ECO-02,DOC-C02-021,"RC-006: 'Em amostra selecionada de 259 empreendedores, 71 (27,4%) preencheram criterios'; DOC-C02-042: 'maior risk-taking, menor proatividade e nenhuma associacao significativa com lucro'; guardrail: nao generalizar.",moderate,0.8,fact
EV-6016f7338c,strategic_analysis,r1,"Amostra brasileira de empreendedores mostrou 27,4% com rastreio positivo, sem associacao significativa com lucro.",SA-01,social,ECO-02,DOC-C02-042,"RC-006: 'Em amostra selecionada de 259 empreendedores, 71 (27,4%) preencheram criterios'; DOC-C02-042: 'maior risk-taking, menor proatividade e nenhuma associacao significativa com lucro'; guardrail: nao generalizar.",moderate,0.8,fact
EV-d0366af881,strategic_analysis,r1,"Amostra brasileira de empreendedores mostrou 27,4% com rastreio positivo, sem associacao significativa com lucro.",SA-01,social,ECO-02,DOC-C02-032,"RC-006: 'Em amostra selecionada de 259 empreendedores, 71 (27,4%) preencheram criterios'; DOC-C02-042: 'maior risk-taking, menor proatividade e nenhuma associacao significativa com lucro'; guardrail: nao generalizar.",moderate,0.8,fact
EV-0b17a4aaa5,strategic_analysis,r1,"Ha evidencia internacional citada de 17,4% de demissoes em adultos com TDAH contra 3,7% em controles.",SA-01,social,ECO-02,DOC-C02-021,"RC-007: 'Estudo internacional citado reportou 17,4% de demissao em adultos com TDAH'; nota: 'A diferenca e aproximadamente 4,7 vezes, mas nao e dado brasileiro'.",moderate,0.75,fact
EV-8d9f1d63d9,strategic_analysis,r1,"Ha evidencia internacional citada de 17,4% de demissoes em adultos com TDAH contra 3,7% em controles.",SA-01,social,ECO-02,DOC-C02-043,"RC-007: 'Estudo internacional citado reportou 17,4% de demissao em adultos com TDAH'; nota: 'A diferenca e aproximadamente 4,7 vezes, mas nao e dado brasileiro'.",moderate,0.75,fact
EV-ad4e7387df,strategic_analysis,r1,"A APM publicou em 26/08/2026 a formulacao de que projetos tambem podem falhar cognitivamente, criando adjacencia temporal muito proxima a tese.",SA-01,competitive_political,ECO-03,DOC-C02-042,"DOC-C02-042 (Alerta): 'Sarah Gardner... publicou na APM em 26/08/2026 a formulacao de que projetos tambem podem falhar cognitivamente, embora seu foco seja IA, julgamento e governanca'; RC-TERM-009 marca STATUS SINAL_RECENTE.",strong,0.85,fact
EV-62b0a91ffc,strategic_analysis,r1,"A APM publicou em 26/08/2026 a formulacao de que projetos tambem podem falhar cognitivamente, criando adjacencia temporal muito proxima a tese.",SA-01,competitive_political,ECO-03,DOC-C02-030,"DOC-C02-042 (Alerta): 'Sarah Gardner... publicou na APM em 26/08/2026 a formulacao de que projetos tambem podem falhar cognitivamente, embora seu foco seja IA, julgamento e governanca'; RC-TERM-009 marca STATUS SINAL_RECENTE.",strong,0.85,fact
EV-027ebf9edf,strategic_analysis,r1,"A APM publicou em 26/08/2026 a formulacao de que projetos tambem podem falhar cognitivamente, criando adjacencia temporal muito proxima a tese.",SA-01,competitive_political,ECO-03,DOC-C02-022,"DOC-C02-042 (Alerta): 'Sarah Gardner... publicou na APM em 26/08/2026 a formulacao de que projetos tambem podem falhar cognitivamente, embora seu foco seja IA, julgamento e governanca'; RC-TERM-009 marca STATUS SINAL_RECENTE.",strong,0.85,fact
EV-8d2050fb5e,strategic_analysis,r1,"O material interno cita R$ 3.498 como custo de avaliacao neuropsicologica, tratado como barreira economica de acesso ao diagnostico.",SA-01,economic,ECO-02,DOC-C07-007,"QT-0143: 'Custo citado de avaliacao neuropsicologica: 3498.0 R$'; observacao da propria fonte: 'A imagem cita a referencia por numero, mas a lista bibliografica [1]-[8] nao esta no material anexado'.",weak,0.45,fact
EV-69bae07eb4,strategic_analysis,r1,"O material interno cita R$ 3.498 como custo de avaliacao neuropsicologica, tratado como barreira economica de acesso ao diagnostico.",SA-01,economic,ECO-02,DOC-C07-009,"QT-0143: 'Custo citado de avaliacao neuropsicologica: 3498.0 R$'; observacao da propria fonte: 'A imagem cita a referencia por numero, mas a lista bibliografica [1]-[8] nao esta no material anexado'.",weak,0.45,fact
EV-87801cbac4,strategic_analysis,r1,Nao ha analise PESTEL formal por unidade no acervo; os fatores existem dispersos em fontes de evidencia e decisao.,SA-01,environmental,ECO-01,DOC-C07-009,Nenhum documento lido apresenta secao PESTEL; os fatores regulatorios estao no dashboard de sintese e os sociais/economicos nas bases de evidencia.,none,0.6,gap
EV-38c24075df,strategic_analysis,r1,Nao ha analise PESTEL formal por unidade no acervo; os fatores existem dispersos em fontes de evidencia e decisao.,SA-01,environmental,ECO-01,DOC-C02-032,Nenhum documento lido apresenta secao PESTEL; os fatores regulatorios estao no dashboard de sintese e os sociais/economicos nas bases de evidencia.,none,0.6,gap
EV-4c1c55f994,strategic_analysis,r1,Os concorrentes diretos citados sao ferramentas horizontais de produtividade com limitacoes documentadas para o publico-alvo.,SA-02,rivalry,ECO-01,DOC-C07-007,"QL-000053: 'Trello... necessitando de plug-ins adicionais para rastrear progresso'; QL-000054: 'Todoist... limitado para iniciar tarefas e sem recursos de regulacao emocional'; QT-000172: '30,0% dos usuarios com TDAH consideram o Notion dificil de configurar/usar'.",moderate,0.7,fact
EV-a7dc14799c,strategic_analysis,r1,Os concorrentes diretos citados sao ferramentas horizontais de produtividade com limitacoes documentadas para o publico-alvo.,SA-02,rivalry,ECO-01,DOC-C07-009,"QL-000053: 'Trello... necessitando de plug-ins adicionais para rastrear progresso'; QL-000054: 'Todoist... limitado para iniciar tarefas e sem recursos de regulacao emocional'; QT-000172: '30,0% dos usuarios com TDAH consideram o Notion dificil de configurar/usar'.",moderate,0.7,fact
EV-c792ffec35,strategic_analysis,r1,Existem concorrentes com evidencia clinica ou aprovacao regulatoria que o EXECUTAR nao pode igualar hoje.,SA-02,rivalry,ECO-01,DOC-C07-007,"QT-000177: 'Eficacia de app baseado em TCC (estudo aberto do app Inflow)'; QT-000178/179: 'videogame terapeutico aprovado por agencia regulatoria... p<0.0001... 72,5% melhoria na qualidade de vida (STARS-ADHD-Adult)'.",moderate,0.75,fact
EV-72c143ec66,strategic_analysis,r1,Existem concorrentes com evidencia clinica ou aprovacao regulatoria que o EXECUTAR nao pode igualar hoje.,SA-02,rivalry,ECO-01,DOC-C07-009,"QT-000177: 'Eficacia de app baseado em TCC (estudo aberto do app Inflow)'; QT-000178/179: 'videogame terapeutico aprovado por agencia regulatoria... p<0.0001... 72,5% melhoria na qualidade de vida (STARS-ADHD-Adult)'.",moderate,0.75,fact
EV-979463fb2a,strategic_analysis,r1,A operacao depende de fornecedores externos criticos cuja falha bloqueia o lancamento.,SA-02,supplier_power,ECO-01,DOC-C06-001,"DOC-C06-001 lista dependencias externas Amazon e Hotmart iniciadas em D1 e reserva de 12h para 'problema de CMS/Hotmart, formulario, link'; DOC-C02-017 fixa Vercel + Payload + PostgreSQL/Neon + Vercel Blob.",moderate,0.65,inference
EV-ebf7dd1990,strategic_analysis,r1,A operacao depende de fornecedores externos criticos cuja falha bloqueia o lancamento.,SA-02,supplier_power,ECO-01,DOC-C02-017,"DOC-C06-001 lista dependencias externas Amazon e Hotmart iniciadas em D1 e reserva de 12h para 'problema de CMS/Hotmart, formulario, link'; DOC-C02-017 fixa Vercel + Payload + PostgreSQL/Neon + Vercel Blob.",moderate,0.65,inference
EV-3592d812ea,strategic_analysis,r1,"O ICP escolhido controla ou influencia a propria compra, o que elimina ciclo de aprovacao mas expoe a decisao a preco.",SA-02,buyer_power,ECO-01,DOC-C07-009,"ICP comercial no dashboard: 'Profissional independente/solo brasileiro... e controla/influencia a propria compra'; faixa de teste R$29,90/49,90/79,90 com 'preco canonico ainda nao existe'.",strong,0.8,fact
EV-250516ec85,strategic_analysis,r1,O substituto mais provavel e o sistema analogico ou improvisado que o proprio usuario ja mantem.,SA-02,substitutes,ECO-01,DOC-C05-001,DOC-C05-001 descreve a categoria como sistema 'com uso digital minimo e integracao analogica' e DOC-C11-008 mostra 'o mesmo projeto no digital e no material fisico'; QL-0022 registra necessidade de 'externalizacao de funcoes executivas'.,moderate,0.6,inference
EV-fd84818fcf,strategic_analysis,r1,O substituto mais provavel e o sistema analogico ou improvisado que o proprio usuario ja mantem.,SA-02,substitutes,ECO-01,DOC-C11-008,DOC-C05-001 descreve a categoria como sistema 'com uso digital minimo e integracao analogica' e DOC-C11-008 mostra 'o mesmo projeto no digital e no material fisico'; QL-0022 registra necessidade de 'externalizacao de funcoes executivas'.,moderate,0.6,inference
EV-e780a534e8,strategic_analysis,r1,O substituto mais provavel e o sistema analogico ou improvisado que o proprio usuario ja mantem.,SA-02,substitutes,ECO-01,DOC-C07-007,DOC-C05-001 descreve a categoria como sistema 'com uso digital minimo e integracao analogica' e DOC-C11-008 mostra 'o mesmo projeto no digital e no material fisico'; QL-0022 registra necessidade de 'externalizacao de funcoes executivas'.,moderate,0.6,inference
EV-d99554820c,strategic_analysis,r1,O setor de conteudo sobre TDAH e descrito como segmentado em quatro categorias competitivas.,SA-02,rivalry,ECO-02,DOC-C07-007,"QL-0017: 'O setor e segmentado em midia/autoridade medica, infoprodutores, comercio eletronico de nicho e instituicoes/clinicas.'",moderate,0.7,fact
EV-67a3af8ecf,strategic_analysis,r1,O setor de conteudo sobre TDAH e descrito como segmentado em quatro categorias competitivas.,SA-02,rivalry,ECO-02,DOC-C07-009,"QL-0017: 'O setor e segmentado em midia/autoridade medica, infoprodutores, comercio eletronico de nicho e instituicoes/clinicas.'",moderate,0.7,fact
EV-f2e17c4f17,strategic_analysis,r1,"O framework compete com corpos metodologicos ja consolidados, e a fonte reconhece isso.",SA-02,rivalry,ECO-03,DOC-C02-030,"RC-TERM-007/008 classificam 'Cognitive Risk' e 'Managing Cognitive Risk' como ANTERIORIDADE; RC-012: 'PMI estrutura multiplos dominios'; RC-TERM-011/012/013 marcam ergonomia cognitiva, fatores humanos e neuroergonomia como adjacentes fortes.",strong,0.85,fact
EV-43055a96a9,strategic_analysis,r1,"O framework compete com corpos metodologicos ja consolidados, e a fonte reconhece isso.",SA-02,rivalry,ECO-03,DOC-C02-022,"RC-TERM-007/008 classificam 'Cognitive Risk' e 'Managing Cognitive Risk' como ANTERIORIDADE; RC-012: 'PMI estrutura multiplos dominios'; RC-TERM-011/012/013 marcam ergonomia cognitiva, fatores humanos e neuroergonomia como adjacentes fortes.",strong,0.85,fact
EV-749ccd2b35,strategic_analysis,r1,"O framework compete com corpos metodologicos ja consolidados, e a fonte reconhece isso.",SA-02,rivalry,ECO-03,DOC-C02-031,"RC-TERM-007/008 classificam 'Cognitive Risk' e 'Managing Cognitive Risk' como ANTERIORIDADE; RC-012: 'PMI estrutura multiplos dominios'; RC-TERM-011/012/013 marcam ergonomia cognitiva, fatores humanos e neuroergonomia como adjacentes fortes.",strong,0.85,fact
EV-88dd0fd57f,strategic_analysis,r1,Nao ha mapeamento de concorrentes para o Estudio no acervo lido.,SA-02,rivalry,ECO-07,DOC-C09-006,"DOC-C09-006, DOC-C12-006 e DOC-C12-007 definem oferta, pagina e formulario, mas nenhum documento nomeia concorrentes de automacao/consultoria.",none,0.7,gap
EV-c66fae360e,strategic_analysis,r1,Nao ha mapeamento de concorrentes para o Estudio no acervo lido.,SA-02,rivalry,ECO-07,DOC-C12-006,"DOC-C09-006, DOC-C12-006 e DOC-C12-007 definem oferta, pagina e formulario, mas nenhum documento nomeia concorrentes de automacao/consultoria.",none,0.7,gap
EV-62175cb4c1,strategic_analysis,r1,Nao ha mapeamento de concorrentes para o Estudio no acervo lido.,SA-02,rivalry,ECO-07,DOC-C12-007,"DOC-C09-006, DOC-C12-006 e DOC-C12-007 definem oferta, pagina e formulario, mas nenhum documento nomeia concorrentes de automacao/consultoria.",none,0.7,gap
EV-da0f0726d3,strategic_analysis,r1,"A categoria declarada do produto e sistema de gestao de processos, projetos, tarefas e workflows orientado a execucao.",SA-03A,category_definition,ECO-01,DOC-C05-001,"DOC-C05-001, item 03 do index: 'Sistema de gestao de processos, projetos, tarefas e workflows, orientado a execucao, adaptado as vulnerabilidades do usuario, com uso digital minimo e integracao analogica'.",strong,0.9,fact
EV-976e759c3b,strategic_analysis,r1,A tese explora a fronteira entre tres mercados de conteudo hoje separados.,SA-03A,market_boundaries,ECO-03,DOC-C01-005,DOC-C01-005: 'Ha tres mercados de conteudo que normalmente ficam separados... neurodivergencia... produtividade pessoal... gestao de riscos'; a proposta e 'colocar uma ponte no meio'.,strong,0.85,fact
EV-9b7ecf34fe,strategic_analysis,r1,A tese explora a fronteira entre tres mercados de conteudo hoje separados.,SA-03A,market_boundaries,ECO-03,DOC-C03-002,DOC-C01-005: 'Ha tres mercados de conteudo que normalmente ficam separados... neurodivergencia... produtividade pessoal... gestao de riscos'; a proposta e 'colocar uma ponte no meio'.,strong,0.85,fact
EV-974ffd01d2,strategic_analysis,r1,O material interno registra crescimento de 576% em buscas por TDAH em 5 anos e CAGR de 25-30% (2022-2025) caindo para 10-12% (2025-2030).,SA-03A,growth,ECO-02,DOC-C07-007,"QT-0137 '576,0% / 5 anos'; QT-0138 '25,0-30,0% ao ano / 2022-2025'; QT-0139 '10,0-12,0% ao ano / 2025-2030'. Todos com 'base amostral: Nao informada na imagem' e 'Requer validacao na referencia original'.",weak,0.45,fact
EV-e1db2e9480,strategic_analysis,r1,O material interno registra crescimento de 576% em buscas por TDAH em 5 anos e CAGR de 25-30% (2022-2025) caindo para 10-12% (2025-2030).,SA-03A,growth,ECO-02,DOC-C07-009,"QT-0137 '576,0% / 5 anos'; QT-0138 '25,0-30,0% ao ano / 2022-2025'; QT-0139 '10,0-12,0% ao ano / 2025-2030'. Todos com 'base amostral: Nao informada na imagem' e 'Requer validacao na referencia original'.",weak,0.45,fact
EV-0a0039d60e,strategic_analysis,r1,"O material interno afirma TAM estimado de R$ 5,07 bilhoes (Brasil), sem metodologia recuperavel.",SA-03B,tam,ECO-01,DOC-C07-007,"QT-0131: 'TAM estimado 5070000000.0 R$', geografia Brasil, fonte 'Documento Final Unificado: Sintese Estrategica de Neuroexecucao Aplicada', arquivo IMG_0537.HEIC, 'base amostral: Nao informada na imagem', 'Requer validacao na referencia original'.",weak,0.35,fact
EV-578a51b04f,strategic_analysis,r1,"O material interno afirma TAM estimado de R$ 5,07 bilhoes (Brasil), sem metodologia recuperavel.",SA-03B,tam,ECO-01,DOC-C07-009,"QT-0131: 'TAM estimado 5070000000.0 R$', geografia Brasil, fonte 'Documento Final Unificado: Sintese Estrategica de Neuroexecucao Aplicada', arquivo IMG_0537.HEIC, 'base amostral: Nao informada na imagem', 'Requer validacao na referencia original'.",weak,0.35,fact
EV-e71133e1d2,strategic_analysis,r1,Nao ha base nem metodologia identificavel para produzir um TAM defensavel do EXECUTAR neste acervo.,SA-03B,tam_methodology,ECO-01,DOC-C07-009,"Falta: universo de compradores definido, taxa de adocao, preco medio validado e fonte bibliografica ([1]-[8] ausente). O proprio dashboard adverte que 26,1 mi de trabalhadores por conta propria 'Nao equivale a TAM do EXECUTAR'.",none,0.85,gap
EV-7233490e0b,strategic_analysis,r1,Nao ha base nem metodologia identificavel para produzir um TAM defensavel do EXECUTAR neste acervo.,SA-03B,tam_methodology,ECO-01,DOC-C07-007,"Falta: universo de compradores definido, taxa de adocao, preco medio validado e fonte bibliografica ([1]-[8] ausente). O proprio dashboard adverte que 26,1 mi de trabalhadores por conta propria 'Nao equivale a TAM do EXECUTAR'.",none,0.85,gap
EV-ab353a2db6,strategic_analysis,r1,Ha duas posicoes incompativeis sobre dimensionamento de mercado dentro do mesmo acervo.,SA-03B,tam_conflict,ECO-01,DOC-C07-007,"Versao A (QT-0131/132/133): TAM R$5,07 bi, SAM R$357,3 mi, SOM R$3,26 mi em 3 anos. Versao B (dashboard V3 Final): 'Contexto de mercado. Nao equivale a TAM do EXECUTAR' e 'Strict VERIFIED 0'.",moderate,0.85,conflict
EV-f9c8a9941a,strategic_analysis,r1,Ha duas posicoes incompativeis sobre dimensionamento de mercado dentro do mesmo acervo.,SA-03B,tam_conflict,ECO-01,DOC-C07-009,"Versao A (QT-0131/132/133): TAM R$5,07 bi, SAM R$357,3 mi, SOM R$3,26 mi em 3 anos. Versao B (dashboard V3 Final): 'Contexto de mercado. Nao equivale a TAM do EXECUTAR' e 'Strict VERIFIED 0'.",moderate,0.85,conflict
EV-6671e65302,strategic_analysis,r1,"O material interno afirma SAM de R$ 357,3 milhoes e publico potencial de 6 milhoes de pessoas, sem metodologia recuperavel.",SA-03C,sam,ECO-01,DOC-C07-007,"QT-0132: 'SAM estimado 357300000.0 R$'; QT-0134: 'Publico potencial do SAM 6000000.0 pessoas'. Mesma limitacao: 'A imagem cita a referencia por numero, mas a lista bibliografica [1]-[8] nao esta no material anexado'.",weak,0.35,fact
EV-f03dacaee5,strategic_analysis,r1,"O material interno afirma SAM de R$ 357,3 milhoes e publico potencial de 6 milhoes de pessoas, sem metodologia recuperavel.",SA-03C,sam,ECO-01,DOC-C07-009,"QT-0132: 'SAM estimado 357300000.0 R$'; QT-0134: 'Publico potencial do SAM 6000000.0 pessoas'. Mesma limitacao: 'A imagem cita a referencia por numero, mas a lista bibliografica [1]-[8] nao esta no material anexado'.",weak,0.35,fact
EV-68aeeb3ea3,strategic_analysis,r1,"O material interno projeta SOM de R$ 3,26 milhoes em 3 anos, com meta de 500.000 inscritos e 1% de conversao anual.",SA-03D,som,ECO-01,DOC-C07-007,"QT-0133 'SOM projetado para tres anos 3260000.0 R$'; QT-0135 'Meta de inscritos 500000.0 / 3 anos'; QT-0136 'Conversao anual projetada 1,0%'.",weak,0.35,fact
EV-7963dd8841,strategic_analysis,r1,"O material interno projeta SOM de R$ 3,26 milhoes em 3 anos, com meta de 500.000 inscritos e 1% de conversao anual.",SA-03D,som,ECO-01,DOC-C07-009,"QT-0133 'SOM projetado para tres anos 3260000.0 R$'; QT-0135 'Meta de inscritos 500000.0 / 3 anos'; QT-0136 'Conversao anual projetada 1,0%'.",weak,0.35,fact
EV-92a63464ce,strategic_analysis,r1,A meta herdada de 500.000 inscritos contradiz a regra vigente de nao fixar metas sem baseline.,SA-03D,som_conflict,ECO-02,DOC-C07-007,QT-0135: 'Meta de inscritos 500000.0'. DOC-C02-043 (Objetivo SMART): 'Nao estabelecer ainda metas arbitrarias de seguidores ou leads sem baseline.',moderate,0.8,conflict
EV-d9d6da8b2f,strategic_analysis,r1,A meta herdada de 500.000 inscritos contradiz a regra vigente de nao fixar metas sem baseline.,SA-03D,som_conflict,ECO-02,DOC-C02-043,QT-0135: 'Meta de inscritos 500000.0'. DOC-C02-043 (Objetivo SMART): 'Nao estabelecer ainda metas arbitrarias de seguidores ou leads sem baseline.',moderate,0.8,conflict
EV-86ae19663e,strategic_analysis,r1,Nao existe dimensionamento de mercado especifico para a unidade editorial.,SA-03B,tam,ECO-02,DOC-C07-007,"Os unicos numeros de mercado no acervo (QT-0131/132/133) referem-se ao projeto de produto/neuroexecucao, nao a receita editorial; nenhum documento estima receita de publicidade, newsletter ou patrocinio.",none,0.8,gap
EV-1d3f4394a1,strategic_analysis,r1,Nao existe TAM/SAM/SOM para os servicos; ha apenas preco e capacidade.,SA-03B,tam,ECO-07,DOC-C05-001,"DOC-C05-001 registra 'Um projeto, uma entrega, uma semana: R$ 700,00' e 'Limite de um cliente por semana', mas nenhum documento estima demanda ou numero de compradores potenciais.",none,0.85,gap
EV-92b190f032,strategic_analysis,r1,"A segmentacao adotada e comportamental, nao clinica.",SA-04A,segmentation_axis,ECO-01,DOC-C07-009,"Decisao ICP-01: 'Iniciar testes por profissionais independentes multiprojeto, sem exigir diagnostico de TDAH'; 'O que nao e criterio de entrada: Diagnostico de TDAH'.",strong,0.9,fact
EV-e9e55e049f,strategic_analysis,r1,O material editorial define publico prioritario como empreendedores e profissionais liberais adultos com TDAH.,SA-04A,segment_definition,ECO-02,DOC-C07-007,QL-0018: 'Empreendedores e profissionais liberais adultos com TDAH sao definidos como publico prioritario'; QT-0140/0141 fixam faixa etaria 25-44 anos.,moderate,0.75,fact
EV-21f82d1f24,strategic_analysis,r1,O material editorial define publico prioritario como empreendedores e profissionais liberais adultos com TDAH.,SA-04A,segment_definition,ECO-02,DOC-C07-009,QL-0018: 'Empreendedores e profissionais liberais adultos com TDAH sao definidos como publico prioritario'; QT-0140/0141 fixam faixa etaria 25-44 anos.,moderate,0.75,fact
EV-0f30595ebe,strategic_analysis,r1,Ha tensao entre a segmentacao clinica do editorial e a segmentacao comportamental do produto.,SA-04A,segment_conflict,ECO-01,DOC-C07-007,Editorial (QL-0018): publico e 'adultos com TDAH'. Produto (ICP-01): 'diagnostico nao define o ICP comercial inicial'. As duas convivem no mesmo funil de lancamento de 07/09.,moderate,0.75,conflict
EV-5b6f7e8e03,strategic_analysis,r1,Ha tensao entre a segmentacao clinica do editorial e a segmentacao comportamental do produto.,SA-04A,segment_conflict,ECO-01,DOC-C07-009,Editorial (QL-0018): publico e 'adultos com TDAH'. Produto (ICP-01): 'diagnostico nao define o ICP comercial inicial'. As duas convivem no mesmo funil de lancamento de 07/09.,moderate,0.75,conflict
EV-8b01db0a58,strategic_analysis,r1,Ha tensao entre a segmentacao clinica do editorial e a segmentacao comportamental do produto.,SA-04A,segment_conflict,ECO-01,DOC-C12-005,Editorial (QL-0018): publico e 'adultos com TDAH'. Produto (ICP-01): 'diagnostico nao define o ICP comercial inicial'. As duas convivem no mesmo funil de lancamento de 07/09.,moderate,0.75,conflict
EV-cc28969ecd,strategic_analysis,r1,O framework define dois publicos distintos: leitores interessados e especialistas como critica externa.,SA-04A,segment_definition,ECO-03,DOC-C02-039,"DOC-C02-039 (BMC): 'Leitores interessados em funcoes executivas, neurodivergencia, trabalho, projetos e risco; especialistas entram como critica externa, nao como endosso.'",strong,0.85,fact
EV-d8c044acb0,strategic_analysis,r1,O framework define dois publicos distintos: leitores interessados e especialistas como critica externa.,SA-04A,segment_definition,ECO-03,DOC-C02-042,"DOC-C02-039 (BMC): 'Leitores interessados em funcoes executivas, neurodivergencia, trabalho, projetos e risco; especialistas entram como critica externa, nao como endosso.'",strong,0.85,fact
EV-91d8be5d6d,strategic_analysis,r1,Nao ha definicao de segmento para os servicos alem de tres familias nao especificadas no acervo lido.,SA-04A,segment_definition,ECO-07,DOC-C09-006,"DOC-C09-006 lista como pendencia 'tres familias de servico' e 'condicao de preco inicial'; DOC-C02-004 registra CONS-01/CONS-02 como CONCLUIDO, mas nenhum documento lido nomeia as tres familias.",none,0.75,gap
