card_id,phase_id,phase_name,artifact,authority,required,applies_if,depends_on,canonical_folder_id,canonical_path,basis,status
REQ-050,P05_REQUIREMENTS,Engenharia de requisitos,Stakeholder Requirements Specification,normative_concept,True,,GOV-003;STR-014;OFF-040;OFF-041;OFF-042;OFF-043;OFF-044;OFF-045,FS-EXE-001,20-produtos/10-executar-app/01-product/02-requisitos,S02;S03,pending
REQ-051,P05_REQUIREMENTS,Engenharia de requisitos,Solution Requirements SRS Master,normative_and_industry,True,,REQ-050,FS-EXE-001,20-produtos/10-executar-app/01-product/02-requisitos,S02;S03,pending
REQ-052,P05_REQUIREMENTS,Engenharia de requisitos,FRD,industry_artifact,conditional,behavioral_solution_components_exist,REQ-051,FS-EXE-001,20-produtos/10-executar-app/01-product/02-requisitos,S02;S03;S26,pending
REQ-053,P05_REQUIREMENTS,Engenharia de requisitos,NFR and Quality Requirements,normative_concept,True,,REQ-051,FS-EXE-001,20-produtos/10-executar-app/01-product/02-requisitos,S02;S03;S08,pending
REQ-054,P05_REQUIREMENTS,Engenharia de requisitos,Transition Requirements,normative_concept,True,,STR-010;STR-012;REQ-051,FS-EXE-001,20-produtos/10-executar-app/01-product/02-requisitos,S03;S01,pending
REQ-055,P05_REQUIREMENTS,Engenharia de requisitos,Data Analytics and Governance Requirements,normative_and_professional,True,,REQ-051;STR-015,FS-DAT-001,60-dados/70-schemas,S16;S02;S08,pending
REQ-056,P05_REQUIREMENTS,Engenharia de requisitos,Integration and Interface Requirements,normative_concept,conditional,integrations_exist,REQ-051;BUS-035,FS-EXE-001,20-produtos/10-executar-app/01-product/02-requisitos,S02;S01,pending
REQ-057,P05_REQUIREMENTS,Engenharia de requisitos,Security Privacy and Trust Requirements,normative_and_legal,True,,REQ-051;GOV-004;REQ-055,FS-TEC-001,80-tecnologia-plataformas,S12;S13;S14;S25,pending
REQ-058,P05_REQUIREMENTS,Engenharia de requisitos,UX Accessibility and Human Factors Requirements,normative_and_hcd,conditional,human_facing_experience_exists,REQ-050;REQ-051;MKT-022,FS-EXE-001,20-produtos/10-executar-app/01-product/02-requisitos,S10;S11,pending
REQ-059,P05_REQUIREMENTS,Engenharia de requisitos,Domain Quality and Regulatory Requirements,custom_integration,True,,REQ-051;GOV-004,FS-EXE-001,20-produtos/10-executar-app/01-product/02-requisitos,S07;S21;S22;S25,pending
ARC-060,P06_ARCHITECTURE_DESIGN,Arquitetura e design,Enterprise Architecture Baseline and Target,framework_standard,True,,BUS-035;REQ-051,FS-TEC-001,80-tecnologia-plataformas,S04,pending
ARC-061,P06_ARCHITECTURE_DESIGN,Arquitetura e design,Business Architecture and Operating Model Design,framework_and_professional,True,,ARC-060;BUS-035;REQ-050,FS-TEC-001,80-tecnologia-plataformas,S04;S03,pending
ARC-062,P06_ARCHITECTURE_DESIGN,Arquitetura e design,Data Architecture and Data Governance Design,framework_and_normative,True,,ARC-060;REQ-055,FS-TEC-001,80-tecnologia-plataformas,S04;S16,pending
ARC-063,P06_ARCHITECTURE_DESIGN,Arquitetura e design,Application Integration and Technology Architecture,framework_standard,conditional,software_or_IT_exists,ARC-060;REQ-052;REQ-053;REQ-056,FS-TEC-001,80-tecnologia-plataformas,S04;S01,pending
ARC-064,P06_ARCHITECTURE_DESIGN,Arquitetura e design,Security and Privacy Architecture Threat Model,normative_practice,True,,REQ-057;ARC-062;ARC-063,FS-TEC-001,80-tecnologia-plataformas,S12;S13;S14,pending
ARC-065,P06_ARCHITECTURE_DESIGN,Arquitetura e design,UX UI Information Architecture and Design System Specification,hcd_and_industry,conditional,interactive_or_content_experience_exists,REQ-058;OFF-040;OFF-041;OFF-044,FS-TEC-001,80-tecnologia-plataformas,S10;S11,pending
ARC-066,P06_ARCHITECTURE_DESIGN,Arquitetura e design,Physical Product Packaging and Manufacturing Design Specification,systems_engineering_artifact,conditional,physical_products_exist,OFF-042;REQ-059,FS-TEC-001,80-tecnologia-plataformas,S01;S07;S20,pending
ARC-067,P06_ARCHITECTURE_DESIGN,Arquitetura e design,Service and Editorial Production Design,custom_integration,conditional,services_or_editorial_operation_exists,OFF-043;OFF-044;REQ-059,FS-TEC-001,80-tecnologia-plataformas,S18;S07;S26,pending
ARC-068,P06_ARCHITECTURE_DESIGN,Arquitetura e design,ADR and Decision Record Register,industry_practice,True,,ARC-060;ARC-061;ARC-062;ARC-063;ARC-064;ARC-065;ARC-066;ARC-067,FS-TEC-001,80-tecnologia-plataformas,S04;S01,pending
DEL-070,P07_DELIVERY,Planejamento e construção,Program and Project Management Plan,professional_standard,True,,STR-013;BUS-034;ARC-060,FS-OPS-002,70-operacao-governanca/01-planos-acao,S05,pending
DEL-071,P07_DELIVERY,Planejamento e construção,Integrated Implementation Plan WBS Backlog and Dependency Graph,professional_and_custom,True,,DEL-070;REQ-051;ARC-068,FS-OPS-002,70-operacao-governanca/01-planos-acao,S05;S01,pending
DEL-072,P07_DELIVERY,Planejamento e construção,Resource Capacity and Budget Control Plan,professional_standard,True,,DEL-070;DEL-071;BUS-031,FS-BUS-005,10-business/04-financeiro,S05,pending
DEL-073,P07_DELIVERY,Planejamento e construção,Procurement Supplier and Partner Plan,professional_and_normative,conditional,external_suppliers_or_partners_exist,DEL-071;DEL-072;BUS-035,FS-COM-001,40-comercial-servicos,S05;S19;S25,pending
DEL-074,P07_DELIVERY,Planejamento e construção,Build and Production Plans,custom_integration,True,,DEL-071;ARC-063;ARC-066;ARC-067,FS-EXE-001,20-produtos/10-executar-app,S01;S05;S07,pending
DEL-075,P07_DELIVERY,Planejamento e construção,Environment Configuration Release and Migration Plan,systems_engineering_practice,conditional,transition_or_release_exists,DEL-071;REQ-054;ARC-063,FS-TEC-001,80-tecnologia-plataformas,S01;S02;S18,pending
DEL-076,P07_DELIVERY,Planejamento e construção,Quality Sustainability and Compliance Execution Plan,normative_management,True,,GOV-004;GOV-005;REQ-059;DEL-071,FS-OPS-002,70-operacao-governanca/01-planos-acao,S07;S20;S21,pending
VAL-080,P08_VERIFICATION_VALIDATION,"Verificação, validação e aceitação",Verification and Validation Master Plan,normative_standard,True,,REQ-051;DEL-071,FS-EXE-001,20-produtos/10-executar-app/11-qa,S01;S02;S09,pending
VAL-081,P08_VERIFICATION_VALIDATION,"Verificação, validação e aceitação",Test Inspection and Quality Control Specifications,normative_and_domain,True,,VAL-080;REQ-053;REQ-059,FS-EXE-001,20-produtos/10-executar-app/11-qa,S09;S07;S08,pending
VAL-082,P08_VERIFICATION_VALIDATION,"Verificação, validação e aceitação",Security Privacy and Accessibility Assurance,normative_and_legal,True,,VAL-080;REQ-057;REQ-058;ARC-064,FS-TEC-001,80-tecnologia-plataformas,S12;S13;S14;S11;S25,pending
VAL-083,P08_VERIFICATION_VALIDATION,"Verificação, validação e aceitação",Requirements Traceability Matrix,normative_concept,True,,REQ-050;REQ-051;ARC-068;VAL-080,FS-EXE-001,20-produtos/10-executar-app/11-qa,S02;S03,pending
VAL-084,P08_VERIFICATION_VALIDATION,"Verificação, validação e aceitação",Acceptance and Go No-Go Criteria,professional_and_normative,True,,VAL-081;VAL-082;VAL-083;GOV-004,FS-EXE-001,20-produtos/10-executar-app/11-qa,S01;S05;S07,pending
GTM-090,P09_GTM_LAUNCH,Go-to-market e lançamento,Go-to-Market Plan,industry_practice,True,,BUS-032;BUS-033;BUS-034;MKT-024;VAL-084,FS-EDT-001,30-editorial-marketing,S26,pending
GTM-091,P09_GTM_LAUNCH,Go-to-market e lançamento,Sales Distribution and Partner Launch Plan,industry_and_professional,conditional,sales_distribution_or_partners_apply,GTM-090;DEL-073,FS-COM-001,40-comercial-servicos,S26;S25,pending
GTM-092,P09_GTM_LAUNCH,Go-to-market e lançamento,Customer Onboarding Support and Success Readiness,service_and_quality,True,,GTM-090;OFF-045;OFF-043,FS-COM-001,40-comercial-servicos,S18;S07;S22,pending
GTM-093,P09_GTM_LAUNCH,Go-to-market e lançamento,Release Launch Communications and Rollout Plan,professional_and_industry,True,,DEL-075;GTM-090;VAL-084,FS-EDT-001,30-editorial-marketing,S05;S01;S26,pending
GTM-094,P09_GTM_LAUNCH,Go-to-market e lançamento,Launch Readiness and Launch Decision Record,custom_control,True,,GTM-091;GTM-092;GTM-093;VAL-084,FS-EDT-001,30-editorial-marketing,S01;S05;S21,pending
OPS-100,P10_OPERATIONS,Operação do ecossistema,Operating Model and SOP Catalog,professional_and_custom,True,,ARC-061;GTM-094,FS-OPS-001,70-operacao-governanca,S04;S07;S18,pending
OPS-101,P10_OPERATIONS,Operação do ecossistema,Customer Success Support Complaints and Feedback Management,normative_and_industry,True,,OPS-100;GTM-092,FS-OPS-001,70-operacao-governanca,S22;S18;S07,pending
OPS-102,P10_OPERATIONS,Operação do ecossistema,Supply Inventory Fulfillment Returns and Supplier Management,operations_practice,conditional,physical_products_or_suppliers_exist,OPS-100;DEL-073;OFF-045,FS-OPS-001,70-operacao-governanca,S07;S19;S25,pending
OPS-103,P10_OPERATIONS,Operação do ecossistema,Security Privacy Incident and Continuity Operations,normative_management,True,,OPS-100;ARC-064;VAL-082,FS-OPS-001,70-operacao-governanca,S12;S13;S14;S17,pending
OPS-104,P10_OPERATIONS,Operação do ecossistema,IT Data and AI Governance,normative_management,conditional,IT_data_or_AI_exists,OPS-100;ARC-062;ARC-063,FS-OPS-001,70-operacao-governanca,S15;S16;S23,pending
OPS-105,P10_OPERATIONS,Operação do ecossistema,Financial Compliance IP and Recordkeeping Operations,legal_and_professional,True,,OPS-100;GOV-004;BUS-031,FS-OPS-001,70-operacao-governanca,S21;S25;S05,pending
OPS-106,P10_OPERATIONS,Operação do ecossistema,Performance Analytics and Management Review,normative_and_professional,True,,OPS-100;STR-015;REQ-055,FS-OPS-001,70-operacao-governanca,S07;S03;S05,pending
EVO-110,P11_EVOLUTION_RETIREMENT,"Evolução, melhoria e retirada",Post-Launch and Solution Evaluation,professional_standard,True,,OPS-106;STR-015,FS-OPS-001,70-operacao-governanca,S03,pending
EVO-111,P11_EVOLUTION_RETIREMENT,"Evolução, melhoria e retirada",Change Innovation and Improvement Backlog,professional_and_normative,True,,EVO-110;OPS-101;OPS-106;GOV-005,FS-OPS-001,70-operacao-governanca,S03;S07;S24,pending
EVO-112,P11_EVOLUTION_RETIREMENT,"Evolução, melhoria e retirada",Portfolio and Lifecycle Review,custom_integration,True,,EVO-110;EVO-111;BUS-034,FS-OPS-001,70-operacao-governanca,S01;S03;S05,pending
EVO-113,P11_EVOLUTION_RETIREMENT,"Evolução, melhoria e retirada",Deprecation Retirement and Knowledge Transfer Plan,normative_lifecycle,conditional,ecosystem_component_is_retired,EVO-112;REQ-054;GOV-004,FS-ARC-001,99-archive,S01;S17;S20;S25,pending
