documento_id,classificacao_id,nome_arquivo,eco_unit,frameworks_candidatos,campos_candidatos,valor_esperado,prioridade_leitura,justificativa
DOC-C15-021,C15,D14-07-09-LANCAMENTO.md,TRANSVERSAL,SA-13,1.5;13.1;10.5,alto,1,D14 07/09 'Lancamento ativado e observado': dia do lancamento e da observacao; candidato a definir o que se observa apos ativar.
DOC-C16-003,C16,MED-001-LIGACOES-E-FORMULARIOS.md,TRANSVERSAL,SA-13,1.5;1.6;14.1;16.1,alto,1,MED-001 'ligacoes e formularios': unico documento do bloco sobre instrumentacao de links e formularios; candidato a north star e guardrail.
DOC-C16-004,C16,MED-002-EVIDENCIAS-DE-CONCLUSAO.md,TRANSVERSAL,,13.1;13.5;14.1;10.4,alto,1,MED-002 'Evidencias de conclusao': define o que conta como prova de feito; base do DoD usado nos dias D01-D14.
DOC-C17-003,C17,MODELO-DIA.md,TRANSVERSAL,,13.1;13.5;10.2;10.5,alto,1,"'Modelo dia de producao' com Resultado do dia, Dependencias, Fazer hoje e Encerrar no mesmo fluxo: o SOP que gera todos os D01-D14."
DOC-C17-005,C17,MODELO-PECA-EDITORIAL.md,ECO-02,,11.1;11.5;14.1,alto,1,"'Modelo peca editorial' com Situacao real, Pergunta central, Entender e Evidencias e referencias: define a estrutura da linha editorial."
DOC-C18-002,C18,00-ABRA-AQUI.md,TRANSVERSAL,SA-13,10.1;13.1;11.3,alto,1,"'Lancamento Executar 07/09/2026' com secoes Sequencia do lancamento, Regra de passagem e Estrutura de apoio: governa ordem e dependencias do GTM."
DOC-C18-004,C18,COMO-USAR.md,TRANSVERSAL,,13.1;13.5;10.2,alto,1,"'Como usar este cofre' com Logica de estado, 'nao sair do dia' e Flexibilidade: descreve o SOP de operacao diaria e o ciclo."
DOC-C01-002,C01,00 - PAINEL - Risco Cognitivo.md,ECO-02,,11.1;11.5;14.1,medio,2,"'Hub de pesquisa e informacao' com Documentos e Rotas tematicas (Conceito e tese; TDAH, funcoes executivas e trabalho): indice de entrada do hub."
DOC-C01-003,C01,"01 - TDAH, Funções Executivas e Risco Cognitivo.md",ECO-02,SA-01,1.1;11.5;14.1,alto,2,"Documento com Mapa inicial do artigo, Argumento autoral e tese e secao sobre TDAH adulto e Barkley: peca editorial ja redigida."
DOC-C01-006,C01,04 - Marca Editorial Risco Cognitivo.md,ECO-02,SA-11B,1.4;11.6;16.1,alto,2,'Marca Editorial Risco Cognitivo' com Arquitetura de marca e canais e Assinatura editorial: define marca e onde ela se manifesta.
DOC-C02-001,C02,RISCO_COGNITIVO_MASTER_CONTROL.txt,TRANSVERSAL,,13.1;13.2,medio,2,"RC-001-CONTROL 'Master Control - Operacao', STATUS ATIVO, HORIZONTE AGORA: documento de comando da operacao corrente."
DOC-C02-002,C02,RISCO_COGNITIVO_MASTER_INDEX.csv,TRANSVERSAL,,14.1;14.2,alto,2,"Indice mestre com colunas ID, CONTEXTO, TIPO, STATUS, HORIZONTE, TITULO, SINTESE e DECISAO_OU_ACHADO: mapa de decisoes ja tomadas."
DOC-C02-003,C02,RISCO_COGNITIVO_MASTER_INDEX.xlsx,TRANSVERSAL,,11.3;14.1;14.2,alto,2,"Mesma base do MASTER_INDEX mas com abas extras CONTEXT_SCHEMA, DIRECTORY_MAP e CAMPAIGN_01: superset do CSV homonimo."
DOC-C02-007,C02,RC-000_AI_README.txt,TRANSVERSAL,,13.1;14.1,medio,2,"RC-000 'AI README - Ordem de leitura', ATIVO/AGORA: define a sequencia canonica de leitura do pacote RC, util antes de abrir o resto."
DOC-C02-010,C02,RC-002_CONTEXT_ROUTER.txt,TRANSVERSAL,,13.1;14.1,medio,2,"RC-002 'Context Router', HORIZONTE REFERENCIA: roteia qual contexto responde a que pergunta; insumo direto para o proprio roteamento."
DOC-C02-012,C02,RC-P01-ART01_MAPA_ARGUMENTATIVO.txt,ECO-02,,11.1;11.5,medio,2,"RC-P01-ART01 'Artigo fundador - mapa argumentativo', ATIVO/AGORA: estrutura de argumento da peca que abre a linha editorial."
DOC-C02-013,C02,RC-P01-CAM01_CRONOGRAMA_14D.txt,ECO-02,SA-13,11.2;11.3,alto,2,"RC-P01-CAM01 'Campanha 01 - cronograma 14 dias', ATIVO/AGORA: calendario e escopo da primeira campanha editorial."
DOC-C02-014,C02,RC-P01_PROJECT_BRIEF.txt,ECO-02,SA-13;SA-11B,1.1;11.1;11.3,alto,2,"RC-P01 'Lancamento editorial Risco Cognitivo', PARA PROJECT, ATIVO/AGORA: brief do projeto de lancamento do blog."
DOC-C02-017,C02,RC-P03_SITE_CMS_BRIEF.txt,ECO-02,SA-07A,2.2;2.5;16.1,alto,2,"RC-P03 'Site/CMS Risco Cognitivo', ATIVO/AGORA: brief da plataforma de publicacao, requisitos e escolha de stack."
DOC-C02-018,C02,RC-A01_POLITICA_EDITORIAL.txt,ECO-02,,11.1;13.2,alto,2,"RC-A01 'Governanca editorial e rigor', AREA, HORIZONTE CONTINUO: regras permanentes de linha editorial e criterio de rigor."
DOC-C02-019,C02,RC-A02_BRAND_SYSTEM.txt,ECO-02,,11.6;11.7,alto,2,"RC-A02 'Marca e Design System', AREA, CONTINUO: identidade e sistema de design como area permanente do projeto."
DOC-C02-020,C02,RC-A03_PIPELINE_EDITORIAL.txt,ECO-02,,11.2;13.1;13.2,alto,2,"RC-A03 'Operacao recorrente de publicacao', AREA, CONTINUO: pipeline editorial repetivel, materia-prima de runbook/SOP."
DOC-C02-030,C02,RISCO_COGNITIVO_CORRELATED_TERMS.csv,ECO-03,SA-03A;SA-05,11.10;14.1,alto,2,"CSV de termos PT/EN com CAMPO, STATUS_NO_FRAMEWORK e LINK_PRIMARIO: vocabulario que delimita a categoria e alimenta SEO."
DOC-C02-034,C02,BRAND_SYSTEM.txt,ECO-02,,11.6;11.7,alto,2,"'BRAND SYSTEM' marcado STATUS: SOURCE OF TRUTH, UPDATED 2026-08-28, com secao MARCA: versao textual canonica da identidade."
DOC-C03-002,C03,text 3.txt,ECO-02,SA-03A;SA-04A;SA-05;SA-11A,1.1;1.3,alto,2,"'Nao planeje sucesso, planeje os riscos' + afirmacao de demanda social real maior que o recorte neurodivergencia e lacuna de posicionamento."
DOC-C04-001,C04,Cronograma.md,TRANSVERSAL,,13.1;13.2,medio,2,"Cronograma de envio de 122 topicos em 17 areas por dia: governa a sequencia operacional do proprio preenchimento, nao conteudo de negocio."
DOC-C04-002,C04,handoffexecutar.txt,ECO-01,SA-07B,2.2;13.1;16.1,alto,2,Handoff do repo Sas-Executar gerado do estado real (git log + GitHub API) para outro agente: estado tecnico e dependencias do app.
DOC-C07-001,C07,EXECUTAR_Editorial_Quality_Assurance_Fluent.html,ECO-02,SA-07B,11.1;11.6;11.8;13.1,medio,2,"Titulo ""Editorial Quality Assurance""; secoes Quality Gate Editorial, FORMULA, DECISAO, RESPONSABILIDADE: gate e SOP de qualidade editorial."
DOC-C08-003,C08,01-MAPA-DE-DEPENDENCIAS.md,TRANSVERSAL,SA-07A;SA-13,13.1;13.2,medio,2,"Mapa de dependencias com ""Cadeia principal"" e ""Dependencias criticas"": sequenciamento que estrutura a cadeia de execucao do lancamento."
DOC-C08-006,C08,04-REGISTRO-DE-ROTAS.md,TRANSVERSAL,SA-13,1.4;16.1;16.2,medio,2,"Registro de rotas e destinos: mapeia para onde cada peca vai, candidato a canais e a inventario de plataformas/contas."
DOC-C08-011,C08,09-FILA-UNICA-DO-LANCAMENTO.md,TRANSVERSAL,SA-13,11.2;13.1,medio,2,"Fila unica do lancamento com secao ""Sequencia"": ordem canonica de execucao das entregas do lancamento."
DOC-C09-008,C09,03-PRODUTOS-VISAO.md,ECO-04,SA-06A;SA-11A,1.3;2.1,medio,2,"Visao de Produtos fisicos com uma secao ""Regra"": define o criterio que rege a linha fisica, escopo ainda enxuto."
DOC-C09-011,C09,04-LIVROS-DIGITAIS-VISAO.md,ECO-06,SA-06A;SA-11A,1.3;2.1;2.3,medio,2,"Visao de Livros digitais com secao ""Para fechar"": define a linha de livros e as pendencias de fechamento."
DOC-C09-015,C09,04-HOTMART-CADASTRO.md,ECO-05,SA-13,1.4;16.1;16.2,medio,2,"Cadastro na Hotmart com secoes ""Cadastrar"" e ""Evidencia"": conta de plataforma de distribuicao e prova de execucao."
DOC-C09-016,C09,04-INFOPRODUTOS-VISAO.md,ECO-05,SA-06A;SA-11A;SA-13,1.3;2.1;11.2,alto,2,"Visao de Infoprodutos com ""Estrutura comum"" e ""Papel no lancamento"": padrao compartilhado da linha e seu encaixe no GTM."
DOC-C09-018,C09,05-AFILIADOS-VISAO.md,ECO-08,SA-06A;SA-07A;SA-13,1.4;1.16;12.1,medio,2,"Visao de Afiliados com ""Nucleo inicial"" e ""Para fechar"": canal de distribuicao por terceiros e primeiros parceiros previstos."
DOC-C10-005,C10,01-CONTEUDO-E-ROTEIRO.md,ECO-02,SA-04C,11.1;11.4;11.5,medio,2,"Conteudo e roteiro da Peca 001 (TDAH, tarefas, processos e projetos) com ""Encaixar"" e ""Origem"": roteiro e procedencia do material."
DOC-C10-008,C10,04-CHAMADA-E-BRINDE.md,ECO-02,SA-13,11.3;11.5,medio,2,"Chamada e brinde da Peca 001 com ""Definir"" e ""Conferir"": CTA e isca de captacao associados a peca."
DOC-C10-011,C10,PECA-001-TDAH-GESTAO.md,ECO-02,SA-04C,11.1;11.5,alto,2,"Peca 001 ""TDAH, tarefas, processos e projetos"" com Objetivo, Entender, Estruturar, Executar: conteudo tematico central do blog."
DOC-C10-013,C10,01-CONTEUDO-E-ROTEIRO.md,ECO-02,SA-04C,11.1;11.4;11.5,medio,2,"Conteudo e roteiro da Peca 002 (TDAH e gestao de riscos) com ""Encaixar"" e ""Origem"": roteiro e procedencia do material."
DOC-C10-016,C10,04-CHAMADA-E-BRINDE.md,ECO-02,SA-13,11.3;11.5,medio,2,"Chamada e brinde da Peca 002 com ""Definir"" e ""Conferir"": CTA e isca de captacao associados a peca."
DOC-C10-019,C10,PECA-002-TDAH-GESTAO-DE-RISCOS.md,ECO-02,SA-04C,11.1;11.5,alto,2,"Peca 002 ""TDAH e gestao de riscos"" com Objetivo, Entender, Estruturar, Executar: tema que nomeia diretamente o blog Risco Cognitivo."
DOC-C10-021,C10,01-CONTEUDO-E-ROTEIRO.md,ECO-02,SA-04C,11.1;11.4;11.5,medio,2,"Conteudo e roteiro da Peca 003 (Funcoes executivas) com ""Encaixar"" e ""Origem"": roteiro e procedencia do material."
DOC-C10-024,C10,04-CHAMADA-E-BRINDE.md,ECO-02,SA-13,11.3;11.5,medio,2,"Chamada e brinde da Peca 003 com ""Definir"" e ""Conferir"": CTA e isca de captacao associados a peca."
DOC-C10-027,C10,PECA-003-FUNCOES-EXECUTIVAS.md,ECO-02,SA-04C,11.1;11.5,alto,2,"Peca 003 ""Funcoes executivas aplicadas ao trabalho"" com Objetivo, Entender, Estruturar, Executar: ponte entre evidencia e dor do publico."
DOC-C10-029,C10,BRINDE-001-MATERIAL-CANONICO.md,ECO-02,SA-13,1.4;11.5,alto,2,"Brinde 001 material canonico de entrada com ""Decisao pendente"", ""Deve conter"" e ""Sugestao de direcao"": isca de topo ainda em aberto."
DOC-C11-004,C11,01-DEMONSTRACAO-APLICATIVO.md,ECO-01,SA-12,2.8;2.9;2.11,alto,2,"Demonstracao 01 do Aplicativo Executar com ""Cena A"", ""Cena B"" e ""Materiais"": roteiro de uso encenado, proxy da jornada e do momento aha."
DOC-C11-006,C11,02-DEMO-AGENTE-007.md,ECO-01,SA-11B,2.5;2.11;11.3,medio,2,"Demonstracao 02 do Agente 007 com ""Cena A"", ""Cena B"" e ""Prova"": encenacao de capacidade com evidencia de funcionamento."
DOC-C11-010,C11,04-DEMONSTRACAO-ESTUDIO.md,ECO-07,SA-11B,1.3;1.16;11.3,medio,2,"Demonstracao 04 do Estudio Executar com ""Cena A"", ""Cena B"" e ""Mensagem"": encenacao comercial do servico de consultoria."
DOC-C12-003,C12,FORM-001-ESTUDIO.md,ECO-07,SA-04B;SA-04D,1.2;1.16;2.7;11.9,alto,2,"Formulario 001 do Estudio com ""Perguntas essenciais"" e ""Concluido quando"": instrumento de qualificacao de cliente na entrada do servico."
DOC-C12-004,C12,FORM-002-CAPTACAO.md,ECO-02,SA-04B;SA-04D,1.2;1.4;11.9;1.16,medio,2,"Formulario 002 de Captacao editorial com secoes ""Uso"" e ""Concluido quando"": instrumento de captura de lead e escuta do publico."
DOC-C12-005,C12,PAG-001-INICIAL.md,TRANSVERSAL,SA-11A;SA-11B,1.3;1.4;11.1,alto,2,"Pagina inicial com ""Objetivo"", ""Chamada principal"" e ""Fechar"": versao publica da proposta de valor e do CTA primario."
DOC-C12-006,C12,PAG-002-SERVICOS.md,ECO-07,,1.3;1.4;1.16,medio,2,"Pagina Servicos com ""Objetivo"", ""Chamada principal"" e ""Fechar"": vitrine publica da oferta de consultoria."
DOC-C14-003,C14,PUB-001-BLOG.md,ECO-02,SA-13,11.1;11.2;16.1,alto,2,PUB-001 'Blog e biblioteca' com secao Evidencia: plano de publicacao do canal proprio e criterio de comprovacao.
DOC-C14-004,C14,PUB-002-YOUTUBE.md,ECO-08,SA-13,11.2;16.1,medio,2,PUB-002 'YouTube' com secao Evidencia: plano de publicacao e evidencia do canal de video.
DOC-C14-005,C14,PUB-003-INSTAGRAM-TIKTOK.md,ECO-08,SA-13,11.2;16.1,medio,2,PUB-003 'Instagram e TikTok' com secao Evidencia: plano de publicacao e evidencia dos canais curtos.
DOC-C15-005,C15,D02-26-08-ROTAS-E-CHAMADAS.md,TRANSVERSAL,SA-13,10.5;13.1;16.1,alto,2,D02 26/08 'Destinos de conversao resolvidos': dia dedicado a rotas e chamadas; candidato a mapear destinos e contas de conversao.
DOC-C15-006,C15,D03-27-08-OFERTAS-E-CADASTROS.md,TRANSVERSAL,SA-13,10.5;13.1;16.1,alto,2,D03 27/08 'Ofertas prontas para receber trafego': dia de ofertas e cadastros; candidato a inventario de ofertas e plataformas.
DOC-C15-015,C15,D10-03-09-PUBLICACAO-E-AGENDA.md,TRANSVERSAL,SA-13,11.2;11.3;16.1;10.5,alto,2,D10 03/09 'Agenda de distribuicao fechada': dia que consolida publicacao e agenda; par direto do PUB-005.
DOC-C15-018,C15,SEMANA-02-01-05.md,TRANSVERSAL,,10.2;10.5;13.5,alto,2,SEMANA-02 '1 a 5 de setembro' com secao Resultado: define o resultado esperado do segundo ciclo semanal.
DOC-C16-006,C16,MED-004-LANCAMENTO-07-09.md,TRANSVERSAL,SA-13,1.5;13.1;14.1,medio,2,MED-004 'Lancamento 07/09' com secao 'Fazer': lista de acoes e observacoes do dia do lancamento.
DOC-C02-015,C02,RC-P02-VAL01_VALIDACAO.txt,ECO-03,SA-05;SA-09A/B/C/D;SA-10B,14.1;14.2,medio,3,"RC-P02-VAL01 'Validacao intelectual do framework' com STATUS PENDENTE: prova de solidez ainda nao feita, provavelmente pouco preenchido."
DOC-C02-021,C02,RC-R01_EVIDENCIAS_TDAH.txt,ECO-03,SA-01;SA-04A,1.1;14.1,medio,3,"RC-R01 'TDAH, funcoes executivas e trabalho', STATUS REFERENCIA: base de evidencia do problema, nao decisao de negocio."
DOC-C02-022,C02,RC-R02_EVIDENCIAS_RISCO_PM.txt,ECO-03,SA-01;SA-05,1.1;14.1,medio,3,"RC-R02 'Cognitive risk, neurodiversidade e project management', REFERENCIA: prior art que conecta o framework ao campo de PM."
DOC-C02-023,C02,RC-R03_REFERENCIAS_TECH.txt,ECO-02,SA-07A,16.1;16.2,medio,3,"RC-R03 'Tecnologia, CMS e publicacao', REFERENCIA: opcoes de plataforma e ferramenta que sustentam a decisao de stack do site."
DOC-C02-029,C02,RISCO_COGNITIVO_CONTACTS.csv,ECO-08,SA-04D;SA-05,12.1;12.2;11.3,medio,3,"CSV de contatos com colunas NOME, AREA, POR_QUE_RELEVANTE, CONTATO_PUBLICO e ABORDAGEM_RECOMENDADA: lista de stakeholders externos."
DOC-C02-032,C02,RISCO_COGNITIVO_RESEARCH_SOURCES.csv,ECO-03,SA-01,14.1;14.3,medio,3,"CSV de fontes com CLUSTER, PRIORITY, SOURCE_TYPE, EVIDENCE_LEVEL, COUNTRY_REGION e YEAR: lastro bibliografico classificado."
DOC-C02-035,C02,DESIGN_TOKENS.css,ECO-02,,11.7,medio,3,"Tokens rc-bg, rc-surface, rc-ink, rc-slate, rc-blue, rc-amber: paleta implementada em CSS, base concreta do design system."
DOC-C02-040,C02,risco-cognitivo-painel-operacional-a4.html,TRANSVERSAL,,13.1,medio,3,"'Painel Operacional A4' com faixas AGORA, PROXIMO e DEPOIS: horizonte de execucao consolidado em uma pagina."
DOC-C02-041,C02,risco-cognitivo-status-report.html,TRANSVERSAL,,13.1,medio,3,"'Status Report Estrategico' sem cabecalhos de secao capturados: promete leitura de estado, mas o inventario nao revela o que traz."
DOC-C03-001,C03,text 2.txt,ECO-02,,11.6;16.1,medio,3,"Define handle @riscocognitivo, nome exibido e bio em Instagram/LinkedIn/YouTube: nomenclatura de canais e voz de perfil."
DOC-C03-004,C03,text.txt,ECO-02,,11.1;11.2;11.5,medio,3,"5W2H do Artigo 01 fundador: por que nao comecar por TDAH, o que o primeiro artigo define e como os seguintes aprofundam."
DOC-C04-003,C04,plano-semana-a4 2.html,TRANSVERSAL,,13.1;13.2,medio,3,"'Centro de Comando A4 | Plano dos 7 dias': plano semanal operacional; cabecalho raso, valor real so aparece no corpo."
DOC-C07-005,C07,SCHEMA_MATRIZ_GESTAO_TDAH_V1.csv,ECO-03,,1.14;14.2;14.3,medio,3,"Schema em CSV com schema_version e row_id das colunas da matriz: contrato de dados, nao conteudo analitico."
DOC-C07-006,C07,SCHEMA_MATRIZ_GESTAO_TDAH_V1.yaml,ECO-03,,1.14;14.2;14.3,medio,3,"Schema YAML com origem_documental, estado_epistemologico e estado_documental: governanca de proveniencia da base."
DOC-C07-008,C07,dashboard_sintese_tdah_694_V2.html,ECO-03,SA-03B;SA-04D,14.1;14.4,medio,3,"Dashboard V2 TDAH x Evidencias x Framework 694 com ""Composicao atual da base"" e ""cobertura do framework 694 - analise legada"": versao superada pela V3."
DOC-C07-010,C07,✅ ADM-26-21-08.docx,ECO-03,SA-07A;SA-07B,2.3;13.1,medio,3,"DOCX com diagrama ASCII ""FUNCAO DE GESTAO / Definir objetivo"": esboco da estrutura de funcoes que sustenta a metodologia."
DOC-C08-002,C08,00-PAINEL-GERAL.md,TRANSVERSAL,,13.1,medio,3,"Painel geral com secao ""Proxima acao"": instrumento de controle de estado do pacote, util para runbook operacional."
DOC-C08-004,C08,02-REGISTRO-DE-CHAMADAS.md,TRANSVERSAL,SA-13,1.4;11.1;11.3,medio,3,"Registro de chamadas para acao: consolida CTAs do pacote, candidato a alimentar campanha e linha editorial."
DOC-C08-005,C08,03-REGISTRO-DE-MATERIAIS.md,TRANSVERSAL,,11.5;13.3,medio,3,"Registro de materiais com ""Regra de reutilizacao"": inventario de ativos reaproveitaveis, candidato a banco de conteudo."
DOC-C08-008,C08,06-SOMATORIO-DE-CAPACIDADE.md,TRANSVERSAL,SA-07B;SA-10B,13.1,medio,3,"Somatorio de capacidade com secao ""Uso da reserva"": dimensiona capacidade operacional disponivel para o lancamento."
DOC-C10-006,C10,02-IMAGENS-E-DIAGRAMAS.md,ECO-02,,11.6;11.7,medio,3,"Imagens e diagramas da Peca 001 com secao ""Referencias"": insumos visuais e fontes de imagem da peca."
DOC-C10-007,C10,03-VIDEO.md,ECO-02,,11.3;11.5,medio,3,"Video da Peca 001 com secao ""Estrutura"": formato audiovisual derivado da mesma peca."
DOC-C10-009,C10,05-PUBLICACAO-E-AGENDA.md,ECO-02,,11.2;16.1,medio,3,"Publicacao e agenda da Peca 001 sem subsecoes: data e canal de publicacao, candidato a calendario editorial."
DOC-C10-010,C10,06-EVIDENCIA-DE-CONCLUSAO.md,ECO-02,,2.6;13.1,baixo,3,"Evidencia de conclusao da Peca 001 com ""Registrar"" e ""Concluido quando"": criterio de aceite e prova operacional."
DOC-C10-014,C10,02-IMAGENS-E-DIAGRAMAS.md,ECO-02,,11.6;11.7,medio,3,"Imagens e diagramas da Peca 002 com secao ""Referencias"": insumos visuais e fontes de imagem da peca."
DOC-C10-015,C10,03-VIDEO.md,ECO-02,,11.3;11.5,medio,3,"Video da Peca 002 com secao ""Estrutura"": formato audiovisual derivado da mesma peca."
DOC-C10-017,C10,05-PUBLICACAO-E-AGENDA.md,ECO-02,,11.2;16.1,medio,3,"Publicacao e agenda da Peca 002 sem subsecoes: data e canal de publicacao, candidato a calendario editorial."
DOC-C10-018,C10,06-EVIDENCIA-DE-CONCLUSAO.md,ECO-02,,2.6;13.1,baixo,3,"Evidencia de conclusao da Peca 002 com ""Registrar"" e ""Concluido quando"": criterio de aceite e prova operacional."
DOC-C10-022,C10,02-IMAGENS-E-DIAGRAMAS.md,ECO-02,,11.6;11.7,medio,3,"Imagens e diagramas da Peca 003 com secao ""Referencias"": insumos visuais e fontes de imagem da peca."
